treatment,casualties,nuclear,alliance,democracy
1,0,0,0,0
2,9,0,0,0
3,50,0,0,0
4,250,0,0,0
5,0,1,0,0
6,9,1,0,0
7,50,1,0,0
8,250,1,0,0
9,0,0,1,0
10,9,0,1,0
11,50,0,1,0
12,250,0,1,0
13,0,1,1,0
14,9,1,1,0
15,50,1,1,0
16,250,1,1,0
17,0,0,0,1
18,9,0,0,1
19,50,0,0,1
20,250,0,0,1
21,0,1,0,1
22,9,1,0,1
23,50,1,0,1
24,250,1,0,1
25,0,0,1,1
26,9,0,1,1
27,50,0,1,1
28,250,0,1,1
29,0,1,1,1
30,9,1,1,1
31,50,1,1,1
32,250,1,1,1
