dataset_doi,interactions,ml_het,hierarchical,variant,any_het,year,deposit_year
doi:10.7910/DVN/24975,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/25302,FALSE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/25423,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/25505,FALSE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/25531,FALSE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/25540,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/25615,FALSE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/25707,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/26457,FALSE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26461,TRUE,FALSE,FALSE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26522,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/26544,FALSE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26570,TRUE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26584,FALSE,FALSE,TRUE,as_published,TRUE,2014,2016
doi:10.7910/DVN/26586,TRUE,FALSE,FALSE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26612,FALSE,FALSE,TRUE,as_published,TRUE,2014,2022
doi:10.7910/DVN/26642,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/26714,TRUE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26721,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/26936,TRUE,FALSE,FALSE,as_published,TRUE,2014,2015
doi:10.7910/DVN/26937,FALSE,FALSE,TRUE,as_published,TRUE,2014,2014
doi:10.7910/DVN/26P4MC,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/27113,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/27176,FALSE,FALSE,FALSE,as_published,FALSE,2014,2014
doi:10.7910/DVN/27192,TRUE,FALSE,TRUE,as_published,TRUE,2014,2014
doi:10.7910/DVN/27217,TRUE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/27293,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/27371,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/27512,TRUE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/27597,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/27624,FALSE,FALSE,FALSE,as_published,FALSE,2014,2015
doi:10.7910/DVN/27631,TRUE,FALSE,TRUE,as_published,TRUE,2014,2015
doi:10.7910/DVN/27662,TRUE,FALSE,FALSE,as_published,TRUE,2014,2015
doi:10.7910/DVN/27672,TRUE,FALSE,TRUE,as_published,TRUE,2014,2016
doi:10.7910/DVN/28158,TRUE,FALSE,TRUE,as_published,TRUE,2014,2014
doi:10.7910/DVN/28582,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/28640,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/28750,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/28856,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/28870,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/28929,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/28930,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29026,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29040,TRUE,FALSE,TRUE,as_published,TRUE,2015,2019
doi:10.7910/DVN/29076,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29080,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29095,FALSE,FALSE,TRUE,as_published,TRUE,2015,2018
