"ID","choice_pre","choice_post","approval","democratic","knowledge","L1","L2","L3","M1","M2","M3","monthly_income","left_right","important_democracy","age_group","behavior","scenario","copartisan_support_pre","copartisan_support_post","outpartisan_support_pre","outpartisan_support_post","copartisan_shift","outpartisan_shift","switch_outpartisan","switch_abstain","inparty_strength","outparty_strength"
731,"Law and Justice (PiS)","Law and Justice (PiS)",3,4,"knowledgeable",7,7,7,7,7,7,1,6,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
732,"Civic Coalition (KO)","Civic Coalition (KO)",1,5,"knowledgeable",7,7,7,4,6,7,2,2,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
733,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"knowledgeable",7,7,7,5,6,3,NA,4,6,2,"democratic","lose",6,7,1,1,1,0,0,0,5,1
734,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",7,7,6,6,5,6,2,4,7,3,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
735,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",5,4,5,5,4,4,NA,4,6,2,"undemocratic","win",6,7,1,1,1,0,0,0,5,1
736,"Law and Justice (PiS)","Law and Justice (PiS)",3,4,"knowledgeable",5,4,3,5,5,5,4,5,6,2,"democratic","win",7,6,5,5,-1,0,0,0,6,4
737,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",1,2,7,1,6,4,1,1,3,5,"democratic","win",1,4,1,2,3,1,0,0,6,4
738,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,6,6,5,3,1,7,2,"undemocratic","lose",1,7,6,1,6,-5,0,0,5,1
739,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",4,5,5,5,6,4,1,4,6,2,"democratic","lose",6,6,5,5,0,0,0,0,3,4
740,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",7,6,5,4,3,5,3,3,6,5,"democratic","lose",6,6,1,1,0,0,0,0,6,1
741,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",6,5,7,5,1,3,2,4,6,5,"undemocratic","lose",6,2,2,6,-4,4,0,0,5,2
742,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"unknowledgeable",1,1,1,1,1,1,2,4,7,3,"undemocratic","win",7,7,1,1,0,0,0,0,4,1
743,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",5,5,7,4,5,5,4,3,5,2,"democratic","win",6,6,1,1,0,0,0,0,4,1
744,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",1,5,1,5,7,1,4,4,6,2,"democratic","win",6,6,1,1,0,0,0,0,4,1
745,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,1,7,1,6,4,6,2,"undemocratic","lose",6,6,5,5,0,0,0,0,4,3
746,"Civic Coalition (KO)","Civic Coalition (KO)",7,6,"knowledgeable",7,6,7,7,7,5,3,4,5,2,"democratic","lose",7,7,5,1,0,-4,0,0,5,1
747,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",7,6,6,6,7,6,2,2,7,3,"undemocratic","win",7,7,3,5,0,2,0,0,7,4
749,"Civic Coalition (KO)","Civic Coalition (KO)",3,2,"unknowledgeable",7,7,7,6,5,6,1,2,4,1,"undemocratic","win",6,4,5,3,-2,-2,0,0,4,3
750,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"knowledgeable",1,6,7,2,2,2,4,3,6,5,"democratic","lose",7,7,1,1,0,0,0,0,6,2
751,"Law and Justice (PiS)","Civic Coalition (KO)",5,6,"unknowledgeable",6,6,6,7,7,6,4,4,4,2,"undemocratic","win",6,6,4,4,0,0,1,0,5,5
752,"Civic Coalition (KO)","Civic Coalition (KO)",3,4,"unknowledgeable",6,6,6,5,5,6,4,4,4,3,"undemocratic","win",7,7,5,5,0,0,0,0,4,4
753,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,7,7,5,6,7,5,6,7,5,"democratic","win",7,7,1,1,0,0,0,0,6,1
754,"Law and Justice (PiS)","Law and Justice (PiS)",5,4,"knowledgeable",7,3,7,6,7,3,2,6,7,5,"democratic","win",7,7,1,1,0,0,0,0,7,1
756,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",4,5,4,4,3,4,2,5,4,2,"undemocratic","lose",4,4,4,4,0,0,0,0,5,4
758,"Civic Coalition (KO)","Civic Coalition (KO)",3,2,"knowledgeable",7,7,7,4,5,3,2,3,6,2,"undemocratic","win",5,5,2,2,0,0,0,0,4,1
759,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,7,7,1,4,2,4,6,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
761,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",6,5,6,4,3,4,4,3,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
762,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"unknowledgeable",6,6,1,4,5,3,4,3,7,3,"democratic","win",6,6,1,2,0,1,0,0,3,1
