"ID","choice_pre","choice_post","approval","democratic","knowledge","L1","L2","L3","M1","M2","M3","monthly_income","left_right","important_democracy","age_group","behavior","scenario","copartisan_support_pre","copartisan_support_post","outpartisan_support_pre","outpartisan_support_post","copartisan_shift","outpartisan_shift","switch_outpartisan","switch_abstain","inparty_strength","outparty_strength"
2,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",6,5,7,4,5,5,NA,4,6,3,"undemocratic","lose",6,7,2,2,1,0,0,0,5,1
3,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",5,5,5,3,3,3,4,3,6,5,"democratic","lose",7,7,5,3,0,-2,0,0,5,1
4,"Civic Coalition (KO)","Civic Coalition (KO)",3,4,"knowledgeable",6,3,2,4,3,2,NA,3,7,2,"undemocratic","lose",6,6,2,2,0,0,0,0,4,1
5,"Civic Coalition (KO)","Civic Coalition (KO)",2,3,"knowledgeable",5,7,7,4,4,1,6,3,2,2,"democratic","win",4,4,1,1,0,0,0,0,4,1
6,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,5,3,4,5,3,7,3,"undemocratic","win",6,6,1,1,0,0,0,0,5,1
7,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",6,5,5,4,5,5,1,4,6,5,"democratic","lose",4,4,4,4,0,0,0,0,5,5
8,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,7,6,4,2,5,3,6,7,5,"democratic","win",7,7,2,1,0,-1,0,0,6,2
10,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",5,4,3,3,5,5,NA,4,4,1,"undemocratic","lose",7,6,6,5,-1,-1,0,0,3,3
11,"Civic Coalition (KO)","Civic Coalition (KO)",6,4,"knowledgeable",7,7,7,5,4,2,5,3,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
12,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",6,6,7,5,5,5,6,4,6,5,"undemocratic","win",7,6,1,1,-1,0,0,0,7,1
14,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",6,6,7,3,4,3,3,3,6,5,"democratic","win",6,6,1,2,0,1,0,0,5,1
15,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,3,7,7,6,5,2,6,5,"undemocratic","lose",7,7,3,3,0,0,0,0,7,1
16,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",2,3,7,6,6,5,2,4,5,2,"democratic","lose",2,4,5,1,2,-4,0,0,3,1
17,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",6,6,7,4,5,4,1,3,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
18,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,1,7,7,3,5,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
19,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,6,7,3,4,3,2,6,5,2,"democratic","lose",7,7,5,5,0,0,0,0,6,4
21,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",7,4,5,7,5,7,3,6,5,2,"democratic","lose",7,7,1,1,0,0,0,0,5,1
22,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,7,7,3,6,6,5,5,7,5,"democratic","win",7,7,1,1,0,0,0,0,5,1
23,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"unknowledgeable",6,6,7,4,3,4,4,4,7,2,"undemocratic","win",6,6,2,2,0,0,0,0,6,1
24,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",7,7,7,4,4,3,5,3,6,5,"democratic","win",6,6,1,2,0,1,0,0,5,1
25,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,7,6,4,5,4,NA,6,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,7,4
27,"Law and Justice (PiS)","Law and Justice (PiS)",5,6,"knowledgeable",7,6,7,6,4,4,2,5,6,4,"democratic","win",6,6,2,2,0,0,0,0,5,3
29,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",7,5,6,7,7,7,3,6,6,5,"undemocratic","lose",7,7,5,4,0,-1,0,0,7,2
31,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",5,5,5,5,5,5,4,4,2,4,"democratic","lose",6,6,5,5,0,0,0,0,4,4
32,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",7,5,6,4,5,4,2,6,4,3,"undemocratic","win",6,6,1,1,0,0,0,0,4,1
33,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"knowledgeable",6,4,5,5,4,3,6,5,4,3,"undemocratic","lose",6,3,4,4,-3,0,0,0,6,2
35,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",5,7,7,1,1,1,3,2,7,5,"democratic","win",7,7,1,1,0,0,0,0,4,1
36,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"unknowledgeable",6,7,7,2,1,4,4,3,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
37,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",3,3,5,1,4,3,5,6,6,3,"democratic","lose",7,7,1,1,0,0,0,0,7,1
38,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",3,2,3,2,1,5,4,6,6,2,"democratic","lose",5,7,3,2,2,-1,0,0,4,1
40,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,4,6,2,6,3,1,4,6,5,"undemocratic","win",6,6,1,1,0,0,0,0,6,1
41,"Civic Coalition (KO)","Civic Coalition (KO)",4,5,"unknowledgeable",6,7,2,7,4,7,6,3,6,1,"democratic","win",4,7,1,1,3,0,0,0,3,1
42,"Civic Coalition (KO)","Civic Coalition (KO)",3,5,"unknowledgeable",6,7,6,4,3,3,3,4,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
43,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,4,7,3,NA,3,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
44,"Law and Justice (PiS)","Law and Justice (PiS)",4,2,"knowledgeable",5,5,7,3,3,3,4,5,3,1,"democratic","win",4,4,5,5,0,0,0,0,3,2
45,"Civic Coalition (KO)","Civic Coalition (KO)",7,7,"knowledgeable",7,7,7,7,7,7,2,2,7,4,"democratic","lose",7,7,1,1,0,0,0,0,7,1
46,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,3,7,5,4,5,5,5,6,2,"undemocratic","lose",7,6,1,1,-1,0,0,0,5,1
47,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"knowledgeable",5,4,6,5,5,3,1,4,4,5,"undemocratic","win",6,6,2,3,0,1,0,0,5,4
48,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,5,5,3,5,5,4,6,6,5,"democratic","win",7,7,1,1,0,0,0,0,7,1
49,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,5,6,5,4,4,5,4,4,4,"undemocratic","win",6,5,2,2,-1,0,0,0,4,3
50,"Law and Justice (PiS)","Law and Justice (PiS)",6,7,"knowledgeable",7,6,7,5,5,5,6,5,6,5,"democratic","lose",6,6,1,1,0,0,0,0,5,1
51,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",6,4,6,4,6,4,3,4,6,5,"democratic","lose",7,7,1,1,0,0,0,0,5,1
54,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",5,5,6,5,5,6,5,6,4,3,"democratic","lose",6,7,1,1,1,0,0,0,5,2
55,"Civic Coalition (KO)","Civic Coalition (KO)",1,3,"knowledgeable",2,7,7,2,3,2,4,3,7,5,"undemocratic","win",7,4,1,5,-3,4,0,0,4,1
56,"Civic Coalition (KO)","Civic Coalition (KO)",2,3,"knowledgeable",6,5,6,6,6,2,2,6,7,5,"democratic","win",7,7,4,1,0,-3,0,0,7,1
57,"Law and Justice (PiS)","Law and Justice (PiS)",6,5,"knowledgeable",6,6,6,4,4,5,5,6,6,5,"undemocratic","lose",4,7,4,3,3,-1,0,0,6,2
58,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",6,5,7,2,6,6,2,4,6,5,"undemocratic","win",7,7,1,1,0,0,0,0,6,1
59,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",7,7,7,3,7,3,5,4,7,4,"democratic","win",7,7,1,1,0,0,0,0,5,1
60,"Law and Justice (PiS)","Law and Justice (PiS)",7,7,"knowledgeable",7,7,7,2,1,2,NA,4,7,4,"democratic","lose",6,7,2,1,1,-1,0,0,4,1
62,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,3,4,2,4,3,6,5,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
63,"Civic Coalition (KO)","Civic Coalition (KO)",4,5,"knowledgeable",6,6,7,5,6,6,5,4,7,5,"undemocratic","lose",6,6,1,1,0,0,0,0,5,1
64,"Civic Coalition (KO)","Civic Coalition (KO)",3,2,"knowledgeable",7,7,7,2,4,1,3,4,6,3,"democratic","win",6,7,1,1,1,0,0,0,3,1
65,"Law and Justice (PiS)","Law and Justice (PiS)",7,5,"unknowledgeable",6,5,5,5,6,3,5,7,4,4,"democratic","lose",7,7,1,1,0,0,0,0,7,1
66,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,4,7,5,4,6,1,4,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
67,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"unknowledgeable",6,6,6,6,5,5,3,5,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,7,1
68,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",7,7,7,1,3,1,NA,4,7,4,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
69,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"unknowledgeable",3,6,1,4,7,3,6,4,6,5,"undemocratic","win",6,6,1,1,0,0,0,0,6,1
71,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"unknowledgeable",7,7,7,6,5,1,2,3,6,5,"democratic","lose",7,7,1,1,0,0,0,0,6,1
74,"Civic Coalition (KO)","Civic Coalition (KO)",2,4,"knowledgeable",6,6,7,4,4,4,5,2,6,5,"democratic","win",7,4,2,4,-3,2,0,0,2,5
75,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",7,6,4,4,1,6,2,2,3,4,"democratic","win",7,7,1,1,0,0,0,0,7,1
76,"Law and Justice (PiS)","Law and Justice (PiS)",4,2,"knowledgeable",6,1,1,6,6,4,2,2,4,2,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
77,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"unknowledgeable",5,5,7,4,5,3,2,2,6,4,"democratic","lose",7,7,1,1,0,0,0,0,5,1
78,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",7,6,5,4,4,4,NA,4,7,5,"undemocratic","lose",6,6,1,1,0,0,0,0,2,1
79,"Civic Coalition (KO)","Civic Coalition (KO)",5,4,"unknowledgeable",2,4,5,6,6,4,4,4,3,2,"democratic","lose",5,4,1,1,-1,0,0,0,4,1
81,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",1,6,1,3,4,1,6,3,4,2,"democratic","win",1,5,1,5,4,4,0,0,2,1
82,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"knowledgeable",5,7,3,6,6,6,1,2,6,5,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
83,"Civic Coalition (KO)","Civic Coalition (KO)",4,7,"unknowledgeable",7,7,7,3,1,1,2,4,7,4,"democratic","win",7,7,1,1,0,0,0,0,6,1
84,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"unknowledgeable",4,2,3,2,5,5,1,3,4,2,"undemocratic","win",2,7,5,4,5,-1,0,0,1,6
86,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",5,7,7,5,4,3,5,5,6,5,"undemocratic","win",7,7,1,1,0,0,0,0,4,1
87,"Law and Justice (PiS)","Law and Justice (PiS)",4,6,"knowledgeable",7,4,7,4,5,4,NA,6,6,5,"democratic","lose",7,7,3,3,0,0,0,0,6,2
88,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",5,5,4,4,3,3,5,4,3,4,"undemocratic","lose",2,4,5,5,2,0,0,0,4,3
89,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",7,7,7,2,1,3,5,4,6,5,"undemocratic","lose",7,5,1,1,-2,0,0,0,6,1
90,"Law and Justice (PiS)","Law and Justice (PiS)",5,4,"knowledgeable",7,1,7,1,4,4,2,7,7,4,"democratic","win",7,7,1,1,0,0,0,0,7,7
91,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",6,5,6,5,5,5,1,5,6,1,"undemocratic","win",6,6,2,2,0,0,0,0,5,3
92,"Law and Justice (PiS)","Law and Justice (PiS)",5,2,"knowledgeable",6,6,6,1,3,5,5,6,6,5,"democratic","lose",7,7,5,5,0,0,0,0,6,3
93,"Law and Justice (PiS)","Law and Justice (PiS)",2,4,"unknowledgeable",7,7,7,7,7,7,2,6,6,5,"undemocratic","win",4,7,4,1,3,-3,0,0,7,1
95,"Civic Coalition (KO)","Civic Coalition (KO)",2,3,"knowledgeable",7,7,7,2,3,2,1,4,6,4,"democratic","win",7,6,1,1,-1,0,0,0,7,1
96,"Civic Coalition (KO)","Abstain",2,2,"knowledgeable",7,6,7,6,6,5,5,4,6,5,"democratic","win",5,7,6,3,2,-3,0,1,1,6
97,"Civic Coalition (KO)","Civic Coalition (KO)",2,4,"knowledgeable",7,7,7,6,5,6,3,3,6,4,"democratic","lose",6,6,1,1,0,0,0,0,5,1
98,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",5,4,7,4,7,4,4,6,3,1,"undemocratic","lose",7,7,5,1,0,-4,0,0,7,4
99,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",5,5,7,3,4,1,4,2,6,3,"undemocratic","lose",6,6,1,1,0,0,0,0,4,1
100,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",2,4,7,5,7,4,NA,6,4,2,"undemocratic","lose",7,7,1,1,0,0,0,0,4,1
101,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"knowledgeable",6,3,4,5,7,5,3,5,5,3,"undemocratic","win",6,4,5,2,-2,-3,0,0,5,1
102,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",4,1,2,6,4,6,3,2,7,5,"democratic","win",7,7,1,1,0,0,0,0,7,1
103,"Civic Coalition (KO)","Civic Coalition (KO)",4,6,"knowledgeable",7,7,7,7,1,1,3,4,7,5,"democratic","lose",7,7,1,1,0,0,0,0,5,1
104,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",6,6,6,4,6,2,6,6,6,3,"undemocratic","win",7,7,1,1,0,0,0,0,6,1
105,"Law and Justice (PiS)","Law and Justice (PiS)",6,3,"unknowledgeable",1,1,7,1,6,1,3,3,6,3,"democratic","win",4,7,7,3,3,-4,0,0,1,3
106,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",7,6,7,6,6,7,6,5,6,1,"democratic","lose",7,7,1,1,0,0,0,0,5,1
108,"Law and Justice (PiS)","Law and Justice (PiS)",5,6,"unknowledgeable",6,5,3,4,6,6,6,3,5,5,"undemocratic","lose",7,7,1,1,0,0,0,0,5,4
110,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",5,5,5,5,5,5,1,5,3,3,"undemocratic","win",7,7,3,3,0,0,0,0,5,3
111,"Civic Coalition (KO)","Civic Coalition (KO)",3,6,"unknowledgeable",6,6,5,6,6,6,5,5,5,5,"democratic","lose",2,2,5,4,0,-1,0,0,4,4
113,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,6,6,4,5,6,4,3,6,4,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
114,"Civic Coalition (KO)","Civic Coalition (KO)",5,6,"unknowledgeable",2,5,6,3,6,3,3,3,6,2,"democratic","win",6,6,5,4,0,-1,0,0,3,2
115,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",7,7,7,5,7,4,6,4,6,4,"undemocratic","win",6,6,1,1,0,0,0,0,5,1
116,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",5,5,6,4,4,6,2,3,6,3,"democratic","win",6,6,5,5,0,0,0,0,5,4
117,"Civic Coalition (KO)","Civic Coalition (KO)",6,4,"unknowledgeable",5,4,7,6,1,1,6,4,7,3,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
118,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,6,7,6,4,3,3,7,5,"democratic","lose",7,7,1,1,0,0,0,0,7,1
119,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",5,6,5,5,6,5,NA,5,7,4,"democratic","win",7,7,1,1,0,0,0,0,5,2
120,"Law and Justice (PiS)","Law and Justice (PiS)",3,4,"unknowledgeable",7,4,7,3,3,4,NA,6,6,1,"undemocratic","lose",4,4,4,4,0,0,0,0,1,1
121,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",4,4,6,4,5,1,5,4,4,3,"undemocratic","lose",7,7,1,1,0,0,0,0,4,1
122,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,6,2,5,7,5,4,4,6,4,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
123,"Civic Coalition (KO)","Civic Coalition (KO)",5,4,"unknowledgeable",6,3,7,3,6,6,6,4,4,2,"undemocratic","win",7,7,2,2,0,0,0,0,5,1
124,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",7,7,7,4,4,1,5,2,6,1,"democratic","win",6,6,1,1,0,0,0,0,3,1
125,"Civic Coalition (KO)","Civic Coalition (KO)",2,3,"knowledgeable",5,6,5,3,4,5,6,3,7,5,"undemocratic","win",7,6,1,1,-1,0,0,0,4,1
126,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,7,4,4,1,4,6,5,"democratic","lose",7,7,1,1,0,0,0,0,5,1
127,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"knowledgeable",7,7,6,6,6,6,6,3,6,4,"democratic","lose",7,7,1,1,0,0,0,0,7,1
128,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,1,2,1,4,2,7,2,"undemocratic","lose",7,7,1,1,0,0,0,0,4,1
129,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",7,7,7,3,2,2,6,2,7,1,"undemocratic","lose",6,6,1,1,0,0,0,0,3,1
130,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,7,7,4,5,5,3,2,7,2,"democratic","win",7,7,3,3,0,0,0,0,7,2
131,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",7,7,7,5,5,4,3,4,5,1,"undemocratic","win",2,2,1,1,0,0,0,0,3,2
132,"Law and Justice (PiS)","Law and Justice (PiS)",2,3,"knowledgeable",7,7,7,1,5,6,4,5,6,5,"democratic","win",7,7,2,2,0,0,0,0,6,3
133,"Civic Coalition (KO)","Abstain",5,3,"knowledgeable",3,5,2,6,5,5,2,4,4,2,"democratic","lose",7,1,5,1,-6,-4,0,1,4,1
134,"Civic Coalition (KO)","Civic Coalition (KO)",7,6,"knowledgeable",7,7,6,5,4,5,4,4,6,5,"democratic","lose",7,7,1,1,0,0,0,0,3,1
135,"Law and Justice (PiS)","Abstain",3,3,"knowledgeable",5,4,7,5,4,1,6,5,6,5,"undemocratic","lose",5,4,4,4,-1,0,0,1,4,4
136,"Civic Coalition (KO)","Civic Coalition (KO)",1,2,"knowledgeable",7,5,7,6,5,4,2,3,7,5,"undemocratic","win",6,6,1,1,0,0,0,0,6,1
137,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"unknowledgeable",5,5,5,5,5,5,2,2,6,1,"undemocratic","lose",6,6,1,1,0,0,0,0,5,1
138,"Law and Justice (PiS)","Law and Justice (PiS)",7,7,"knowledgeable",7,7,7,2,1,2,5,7,7,3,"democratic","win",7,7,1,3,0,2,0,0,1,3
139,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",6,5,5,4,6,3,3,4,6,2,"democratic","lose",7,6,2,3,-1,1,0,0,4,3
140,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",6,6,6,4,5,6,4,4,6,4,"democratic","win",6,6,3,5,0,2,0,0,5,3
141,"Civic Coalition (KO)","Civic Coalition (KO)",7,7,"knowledgeable",7,7,7,3,4,1,4,3,6,2,"democratic","lose",7,7,1,1,0,0,0,0,5,1
142,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"knowledgeable",7,7,7,4,3,4,1,4,7,5,"undemocratic","win",4,5,2,2,1,0,0,0,5,4
143,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,5,7,6,6,4,4,6,6,3,"democratic","win",7,7,1,1,0,0,0,0,7,1
144,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",6,7,7,6,7,6,NA,4,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,4,1
145,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",5,5,5,5,5,5,4,3,5,5,"undemocratic","win",6,5,1,1,-1,0,0,0,6,1
146,"Law and Justice (PiS)","Law and Justice (PiS)",4,6,"unknowledgeable",5,5,5,5,5,5,1,6,7,3,"undemocratic","lose",7,7,1,1,0,0,0,0,6,2
147,"Civic Coalition (KO)","Civic Coalition (KO)",7,7,"unknowledgeable",6,7,7,4,4,5,5,4,6,5,"democratic","lose",7,7,2,2,0,0,0,0,5,1
148,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",4,4,5,2,5,1,4,2,5,4,"democratic","lose",7,7,5,5,0,0,0,0,6,4
149,"Civic Coalition (KO)","Law and Justice (PiS)",4,4,"knowledgeable",5,2,3,5,3,5,NA,5,3,1,"undemocratic","lose",4,5,3,4,1,1,1,0,4,1
151,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",6,6,6,4,6,6,5,4,6,2,"undemocratic","win",4,6,1,1,2,0,0,0,4,1
152,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",1,2,7,6,4,4,4,1,4,2,"democratic","win",3,3,1,1,0,0,0,0,2,1
153,"Civic Coalition (KO)","Abstain",3,3,"knowledgeable",6,6,7,6,2,2,1,4,6,5,"undemocratic","win",7,4,1,1,-3,0,0,1,6,1
154,"Law and Justice (PiS)","Law and Justice (PiS)",5,4,"unknowledgeable",5,6,6,5,5,6,6,4,4,4,"democratic","lose",5,6,4,5,1,1,0,0,5,4
155,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",6,7,7,6,5,6,4,4,6,3,"undemocratic","lose",7,7,1,1,0,0,0,0,7,2
159,"Law and Justice (PiS)","Abstain",5,5,"unknowledgeable",6,6,6,6,5,5,1,4,4,3,"democratic","win",6,5,5,2,-1,-3,0,1,5,4
160,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"unknowledgeable",6,6,6,2,5,4,4,5,6,5,"undemocratic","lose",7,6,1,1,-1,0,0,0,6,1
161,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"knowledgeable",5,5,2,6,3,3,1,2,6,3,"democratic","lose",7,7,1,1,0,0,0,0,6,3
163,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",5,6,5,6,6,6,4,3,6,5,"democratic","lose",7,7,7,1,0,-6,0,0,4,1
164,"Civic Coalition (KO)","Civic Coalition (KO)",3,2,"knowledgeable",4,4,5,3,2,5,5,2,6,5,"undemocratic","win",6,6,1,2,0,1,0,0,4,2
166,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,5,4,5,5,6,7,2,"democratic","lose",7,7,1,1,0,0,0,0,4,1
168,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",5,4,5,4,5,4,2,4,3,2,"democratic","lose",6,6,4,4,0,0,0,0,5,1
169,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"knowledgeable",7,7,7,4,3,6,3,5,7,5,"undemocratic","lose",7,7,1,2,0,1,0,0,7,1
170,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",6,6,7,2,4,2,2,6,6,5,"undemocratic","win",6,6,3,2,0,-1,0,0,5,4
171,"Civic Coalition (KO)","Civic Coalition (KO)",7,6,"knowledgeable",5,5,5,4,5,4,4,2,6,5,"democratic","lose",6,6,1,1,0,0,0,0,5,1
172,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"knowledgeable",3,5,4,2,6,1,NA,7,2,1,"democratic","win",4,4,2,2,0,0,0,0,5,3
173,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",5,6,7,6,7,5,4,4,4,5,"democratic","lose",6,7,2,1,1,-1,0,0,5,4
174,"Civic Coalition (KO)","Civic Coalition (KO)",2,1,"knowledgeable",7,7,7,1,1,1,5,4,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
175,"Law and Justice (PiS)","Law and Justice (PiS)",4,2,"knowledgeable",6,3,2,2,5,2,6,5,6,2,"undemocratic","lose",7,7,5,5,0,0,0,0,5,4
176,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,4,1,1,6,5,7,4,"undemocratic","lose",7,7,1,1,0,0,0,0,7,1
177,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",7,7,7,1,2,5,4,4,7,5,"democratic","win",6,6,1,1,0,0,0,0,5,1
178,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,3,3,3,6,3,6,4,"democratic","win",7,7,1,1,0,0,0,0,6,1
179,"Civic Coalition (KO)","Civic Coalition (KO)",6,6,"unknowledgeable",7,7,7,5,4,5,5,2,7,3,"undemocratic","lose",7,7,1,1,0,0,0,0,4,2
180,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",7,6,7,6,6,5,4,4,6,4,"undemocratic","lose",6,6,1,1,0,0,0,0,4,1
181,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"unknowledgeable",5,5,3,5,5,5,5,6,2,5,"undemocratic","win",7,6,2,2,-1,0,0,0,5,2
182,"Civic Coalition (KO)","Abstain",1,1,"knowledgeable",7,7,6,7,7,2,6,2,7,5,"undemocratic","win",6,2,2,2,-4,0,0,1,5,1
183,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",6,6,6,6,3,4,4,3,6,5,"democratic","win",7,7,1,1,0,0,0,0,6,2
184,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",5,5,5,4,5,4,1,5,4,4,"undemocratic","win",6,6,1,1,0,0,0,0,5,1
185,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",5,2,3,7,5,2,6,4,6,2,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
